Headline,Multiplier,Sector
[Stock] posts record-breaking Q4 earnings,1.08,Industrials
[Stock] acquires major competitor,1.1,Consumer Discretionary
[Stock] reports unexpected net loss in Q2,0.95,Finance
[Stock] granted FDA approval for new drug,1.15,Health Care
[Stock] expands real estate portfolio,1.03,Real Estate
[Stock] CEO resigns amid controversy,0.92,Miscellaneous
[Stock] unveils innovative tech product,1.11,Technology
[Stock] recalls defective consumer product,0.88,Consumer Staples
[Stock] secures large offshore oil contract,1.05,Energy
[Stock] telecommunications network suffers major outage,0.9,Telecommunications
[Stock] announces new sustainable energy project,1.07,Utilities
[Stock] discovers large mineral deposit,1.1,Basic Materials
[Stock] fails to meet Wall Street estimates,0.97,Industrials
[Stock] facing antitrust lawsuit,0.93,Consumer Discretionary
[Stock] announces dividend increase,1.03,Finance
[Stock] sees significant drop in active users,0.96,Technology
[Stock] to spin off underperforming division,1.02,Consumer Staples
[Stock] wins major government contract,1.06,Industrials
[Stock] initiates stock buyback program,1.02,Finance
[Stock] announces layoffs and restructuring,0.95,Health Care
[Stock] CEO announces retirement,0.98,Miscellaneous
[Stock] facing unexpected operational costs,0.94,Industrials
[Stock] announces partnership with major tech firm,1.06,Technology
[Stock] reports significant supply chain disruptions,0.91,Consumer Staples
[Stock] declares bankruptcy,0.7,Consumer Discretionary
[Stock] unveils ambitious expansion plan,1.05,Real Estate
[Stock] launches new innovative product,1.12,Technology
[Stock] misses earnings expectations,0.95,Finance
[Stock] to close manufacturing plants amid downturn,0.9,Industrials
[Stock] announces significant investment in renewables,1.1,Utilities
[Stock] under investigation for fraudulent accounting,0.8,Finance
[Stock] plans to go carbon neutral by 2030,1.04,Energy
[Stock] announces groundbreaking technological breakthrough,1.1,Technology
[Stock] initiates voluntary product recall,0.92,Consumer Discretionary
[Stock] suffers significant data breach,0.88,Technology
[Stock] reveals plans for a major corporate restructure,0.96,Miscellaneous
[Stock] sales hit by major supply chain disruptions,0.9,Consumer Staples
[Stock] announces major share buyback program,1.03,Finance
[Stock] plans to cut its workforce by 15%,0.92,Industrials
[Stock] launches promising clinical trial for cancer drug,1.07,Health Care
[Stock] to split stock 2-for-1,1.02,Technology
[Stock] announces robust sales growth,1.05,Consumer Discretionary
[Stock] to increase dividends for the next fiscal year,1.02,Finance
[Stock] initiates strategic partnership with major tech company,1.04,Technology
