Symbol,Name,Outstanding,IPO Year,Sector,Industry
A,Agilent Technologies Inc. Common Stock,295375800,1999,Industrials,Biotechnology: Laboratory Analytical Instruments
AA,Alcoa Corporation Common Stock ,178449605,2016,Industrials,Aluminum
AAC,Ares Acquisition Corporation Class A Ordinary Shares,71997081,2021,Industrials,Metal Fabrications
AACG,ATA Creativity Global American Depositary Shares,31622170,2008,Consumer Discretionary,Educational Services
AACI,Armada Acquisition Corp. I Common Stock,0,2021,Finance,Blank Checks
AACIW,Armada Acquisition Corp. I Warrant,0,2021,Finance,Blank Checks
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,0,2023,Miscellaneous,Miscellaneous
AADI,Aadi Bioscience Inc. Common Stock,24519860,,Health Care,Biotechnology: Pharmaceutical Preparations
AAIC,Arlington Asset Investment Corp Class A (new),28360450,,Real Estate,Real Estate Investment Trusts
AAIC^B,Arlington Asset Investment Corp 7.00% ,-1,,Miscellaneous,Miscellaneous
AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,-1,,Miscellaneous,Miscellaneous
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,28360446,,Real Estate,Real Estate Investment Trusts
AAL,American Airlines Group Inc. Common Stock,653363435,,Consumer Discretionary,Air Freight/Delivery Services
AAM^A,Apollo Asset Management Inc. 6.375% Series A Preferred Stock,-1,,Miscellaneous,Miscellaneous
AAM^B,Apollo Asset Management Inc. 6.375% Series B Preferred Stock,-1,,Miscellaneous,Miscellaneous
AAMC,Altisource Asset Management Corp Com,1758420,,Finance,Real Estate
AAME,Atlantic American Corporation Common Stock,20402287,,Finance,Life Insurance
AAN,Aarons Holdings Company Inc. Common Stock ,30869005,2020,Miscellaneous,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc. Common Stock,32128846,2013,Technology,Semiconductors
AAON,AAON Inc. Common Stock,54406322,,Industrials,Industrial Machinery/Components
