Headline,Multiplier,Sector,Type
"[Stock] posts record-breaking Q4 earnings",1.08,Industrials,Financial
"[Stock] acquires major competitor",1.1,Consumer Discretionary,Financial
"[Stock] reports unexpected net loss in Q2",0.95,Finance,Financial
"[Stock] granted FDA approval for new drug",1.15,Health Care,Financial
"[Stock] expands real estate portfolio",1.03,Real Estate,Financial
"[Stock] CEO resigns amid controversy",0.92,Miscellaneous,Financial
"[Stock] unveils innovative tech product",1.11,Technology,Financial
"[Stock] recalls defective consumer product",0.88,Consumer Staples,Financial
"[Stock] secures large offshore oil contract",1.05,Energy,Financial
"[Stock] telecommunications network suffers major outage",0.9,Telecommunications,Financial
"[Stock] announces new sustainable energy project",1.07,Utilities,Financial
"[Stock] discovers large mineral deposit",1.1,Basic Materials,Financial
"[Stock] fails to meet Wall Street estimates",0.97,Industrials,Financial
"[Stock] facing antitrust lawsuit",0.93,Consumer Discretionary,Financial
"[Stock] announces dividend increase",1.03,Finance,Financial
"[Stock] sees significant drop in active users",0.96,Technology,Financial
"[Stock] to spin off underperforming division",1.02,Consumer Staples,Financial
"[Stock] wins major government contract",1.06,Industrials,Financial
"[Stock] initiates stock buyback program",1.02,Finance,Financial
"[Stock] announces layoffs and restructuring",0.95,Health Care,Financial
"[Stock] CEO announces retirement",0.98,Miscellaneous,Financial
"[Stock] facing unexpected operational costs",0.94,Industrials,Financial
"[Stock] announces partnership with major tech firm",1.06,Technology,Financial
"[Stock] reports significant supply chain disruptions",0.91,Consumer Staples,Financial
"[Stock] declares bankruptcy",0.7,Consumer Discretionary,Financial
"[Stock] unveils ambitious expansion plan",1.05,Real Estate,Financial
"[Stock] launches new innovative product",1.12,Technology,Financial
"[Stock] misses earnings expectations",0.95,Finance,Financial
"[Stock] to close manufacturing plants amid downturn",0.9,Industrials,Financial
"[Stock] announces significant investment in renewables",1.1,Utilities,Financial
"[Stock] under investigation for fraudulent accounting",0.8,Finance,Financial
