"Headline","Multiplier","Sector"
"Global Bee Population Collapses, Threatening Food Production",0.7,"Miscellaneous"
"Major Internet Infrastructure Hacked, Worldwide Outage Reported",0.5,"Miscellaneous"
"Global Fresh Water Shortage Reaches Critical Levels",0.65,"Miscellaneous"
"International Satellite Collision Causes Space Debris Crisis",0.8,"Miscellaneous"
"Unprecedented Solar Flares Disrupt Global Electronics",0.6,"Miscellaneous"
"Alien Contact Established, World Governments in Disarray",0.7,"Miscellaneous"
"Global Oil Reserves Drastically Overestimated",0.5,"Miscellaneous"
"Volcanic Eruption Alters Global Climate, Massive Crop Failure Anticipated",0.55,"Miscellaneous"
"Worldwide Cyber Attack Holds Major Cities Hostage",0.5,"Miscellaneous"
"Antibiotic Resistance Surges, Global Health Crisis Declared",0.6,"Miscellaneous"
"Global Coffee Blight Threatens Morning Routines Everywhere",0.9,"Miscellaneous"
"Rapid Polar Ice Melt Raises Sea Levels, Coastal Cities in Peril",0.7,"Miscellaneous"
"World's Major Fisheries Collapse, Seafood Shortage Imminent",0.7,"Miscellaneous"
"Global Cloud Storage Leak Exposes Sensitive Information of Billions",0.6,"Miscellaneous"
"Significant Increase in Global Earthquake Activity Baffles Scientists",0.75,"Miscellaneous"
"Superbug Outbreak Resistant to All Known Treatments",0.6,"Miscellaneous"
"Global Internet Bandwidth Shortage Slows Down Worldwide Communication",0.7,"Miscellaneous"
"Ozone Layer Deterioration Accelerates at Alarming Rate",0.65,"Miscellaneous"
"Global Financial Systems Hacked, Market Crash Anticipated",0.4,"Miscellaneous"
"Artificial Intelligence Achieves Singularity, World Reels from Implications",0.65,"Miscellaneous"
"Massive Solar Storm Approaching, Widespread Power Outages Expected",0.6,"Miscellaneous"
"Global Chocolate Shortage Declared After Major Crop Failure",0.9,"Miscellaneous"
"Resurgence of Prehistoric Disease Stumps Modern Medicine",0.7,"Miscellaneous"
"Unknown Cosmic Phenomenon Disturbs Earth's Magnetic Field",0.8,"Miscellaneous"
"Unidentified Flying Objects Confirmed Over Major World Capitals",0.75,"Miscellaneous"
"Worldwide Wheat Crop Failure Threatens Staple Foods",0.6,"Miscellaneous"
"Global Pharmaceutical Crisis as Major Drug Patents are Revoked",0.65,"Miscellaneous"
"World's Major Coral Reefs Declared Dead, Ocean Ecosystems in Peril",0.7,"Miscellaneous"
"Universal Basic Income Implemented Globally, Economic Repercussions Uncertain",0.85,"Miscellaneous"
"Dark Matter Phenomenon Disturbs Global Weather Patterns",0.8,"Miscellaneous"
"Rare Earth Mineral Shortage Threatens Global Tech Industries",0.7,"Miscellaneous"
"World's Internet Found to be 99% Cat Videos, Productivity Plummets",0.9,"Miscellaneous"
"Accelerated Glacial Melt Floods Freshwater Reservoirs, Water Crisis Deepens",0.7,"Miscellaneous"
"Global Gold Reserves Found to be Mislabeled Pyrite",0.5,"Miscellaneous"
"Desertification Overtakes Major Agricultural Lands",0.65,"Miscellaneous"
"Major Solar Company Declares Bankruptcy, Renewable Energy in Crisis",0.75,"Miscellaneous"
"Global Fossil Fuel Consumption Triples in a Decade, Environmental Crisis Looms",0.55,"Miscellaneous"
"Global Ban on Single-Use Plastics Cripples Several Industries",0.8,"Miscellaneous"
"World's Rainforests Consumed in Wildfires, Climate Change Accelerates",0.55,"Miscellaneous"
"Meltdown in Global Crypto Markets as Major Vulnerability is Exposed",0.5,"Miscellaneous"
"New Strain of Locusts Ravages Global Crop Productions",0.7,"Miscellaneous"
"Sudden Decline in Pollinators Puts Global Food Chain at Risk",0.65,"Miscellaneous"
"Major Tech Companies Unite to Form Global Super Corporation",0.75,"Miscellaneous"
"Mass Migration as Sea Level Rise Claims First Island Nation",0.8,"Miscellaneous"
"Worldwide Electrical Grids Fail Simultaneously, Cause Unknown",0.5,"Miscellaneous"
"Magnetic Pole Reversal Begins, Global Chaos Ensues",0.7,"Miscellaneous"
"Global Helium Shortage Grounds Industries, Birthday Parties",0.85,"Miscellaneous"
"Synchronized Volcanic Eruptions Cast Pall Over Earth",0.6,"Miscellaneous"
"First Contact: Extraterrestrial Life Demands Earth's WiFi Password",0.8,"Miscellaneous"
"Major Internet Companies Merge, Announce Plans for Global Mega-Network",0.7,"Miscellaneous"
"Global Sand Shortage Threatens Construction Industry",0.75,"Miscellaneous"
"Declassified Report Reveals Existence of Parallel Earth",0.8,"Miscellaneous"
"Pervasive AI Rebellion Throws World into Digital Chaos",0.6,"Miscellaneous"
"Time Anomaly Discovered, Past and Present Converging",0.7,"Miscellaneous"
"Global Caffeine Shortage Leads to Widespread Panic",0.85,"Miscellaneous"
"Simultaneous Earthquakes Shake Every Continent",0.65,"Miscellaneous"
"Rise in Sea Monsters Disrupts Global Shipping Lanes",0.75,"Miscellaneous"
"Sudden Shift in Earth's Orbit Mystifies Scientists",0.75,"Miscellaneous"
"Global Grid Failure Leaves Billions Without Power",0.5,"Miscellaneous"
"World Governments Reveal We've Been in a Simulation",0.8,"Miscellaneous"
