Headline,Multiplier
[Stock] Acquires Major Competitor," Now Largest in Its Sector,1.3"
[Stock] Unveils New Electric Vehicle," Plans to Mass Produce,2.0"
[Stock] Announces Plans to Merge with Industry Leader,1.4
[Stock] Faces Major Product Recall Due to Safety Concerns,0.6
[Stock] Launches Innovative Product," Sets New Standard for Industry,1.8"
[Stock] Announces Massive Recall Due to Product Malfunction,0.7
[Stock] Announces Expansion into Asian Markets,1.3
[Stock] Unveils Breakthrough Battery Technology,2.0
[Stock] Faces Class Action Lawsuit over Product Safety,0.7
[Stock] Announces Aggressive Expansion Plans," Stock Rallies,1.4"
[Stock] Announces Expansion Plans in Emerging Markets,1.4
[Stock] Announces Major Product Launch," Shares Soar,1.8"
[Stock] Sees Major Boost After Celebrity Endorsement,1.2
[Stock] Faces Restructuring After Declining Sales,0.8
[Stock] Announces Collaboration with Popular Entertainment Franchise,1.3
