Headline,Multiplier
[Stock] Announces Breakthrough Revolutionary Product," Expected to Dominate the Market,4.0"
[Stock] Announces Major Data Breach," Millions of Customers Affected,0.7"
[Stock] Hit by Major Cyberattack," Sensitive Data Stolen,0.7"
[Stock] Wins Patent Infringement Lawsuit," Stock Soars,1.3"
[Stock] Secures Major Investment from Prominent Venture Capital Firm,2.0
[Stock] Accused of Unfair Business Practices," Faces Antitrust Investigation,0.7"
[Stock] Announces Significant Breakthrough in AI Technology,2.0
[Stock] Faces Backlash After Major Product Failure,0.8
[Stock] Reports Exceptional Growth in User Base,1.3
[Stock] Faces Major Data Privacy Lawsuit," Potential Fines in Billions,0.8"
[Stock] Announces Partnership with Leading Tech Company,1.3
[Stock] Faces Massive Security Breach," Data of Millions Leaked,0.6"
