Headline,Multiplier
[Stock] telecommunications network suffers major outage,0.9
[Stock] forms strategic alliance with rival,1.02
[Stock] suffers from major operational glitches,0.9
[Stock] to launch innovative new service,1.04
[Stock] under threat from increasing competition,0.93
[Stock] announces launch of innovative service,1.05
[Stock] suffers from high-profile data breach,0.89
[Stock] reports robust growth in mobile users,1.05
[Stock] under probe for potential anti-competitive behavior,0.91
[Stock] faces regulatory scrutiny over data privacy,0.92
[Stock] reports strong growth in subscriber base,1.05
[Stock] to launch new mobile app,1.02
