Headline,Multiplier
[Stock] acquires major competitor,1.1
[Stock] facing antitrust lawsuit,0.93
[Stock] declares bankruptcy,0.7
[Stock] initiates voluntary product recall,0.92
[Stock] announces robust sales growth,1.05
[Stock] announces plan to enter Asian market,1.05
[Stock] suffers major cyberattack,0.88
[Stock] secures regulatory approval for merger,1.05
[Stock] to lay off 10% of its workforce,0.93
[Stock] announces aggressive expansion into new markets,1.06
[Stock] experiences steep sales decline,0.92
[Stock] sets record high in sales,1.06
[Stock] announces major recall due to safety concerns,0.89
[Stock] expands into emerging markets,1.05
[Stock] suffers weak Q1 due to supply chain issues,0.93
[Stock] to introduce new product line,1.04
[Stock] reports a sharp increase in quarterly revenue,1.05
[Stock] to shut down operations in several countries,0.93
[Stock] announces plans to hire 2000 new employees,1.03
[Stock] beats earnings estimates,1.05
[Stock] to launch new line of electric vehicles,1.05
[Stock] announces drastic cost cutting measures,0.95
[Stock] to launch new environmentally friendly product line,1.04
[Stock] records significant increase in Q2 revenue,1.06
[Stock] to initiate aggressive marketing campaign,1.03
[Stock] suffers as exchange rates hit profits,0.94
[Stock] announces partnership with global e-commerce giant,1.05
[Stock] faces slowdown in China sales,0.94
[Stock] hit by rising commodity prices,0.92
[Stock] faces potential union strike,0.93
[Stock] to acquire major competitor,1.06
[Stock] to scale back operations in Europe,0.94
[Stock] to close retail outlets due to online shift,0.95
[Stock] to launch groundbreaking product,1.06
[Stock] hit by major product recall,0.9
[Stock] fails to meet sales forecasts,0.94
[Stock] reports a slowdown in sales growth,0.95
[Stock] launches major sustainability initiative,1.05
[Stock] reports slowdown in e-commerce growth,0.94
[Stock] announces major layoffs amid restructuring,0.92
[Stock] under fire for controversial advertising campaign,0.91
[Stock] to shutter operations in certain regions,0.93
[Stock] hit by supply chain issues,0.92
[Stock] to initiate corporate restructuring,1.01
[Stock] experiences slowdown in sales,0.94
[Stock] to close underperforming stores,0.93
[Stock] announces layoffs amid slowing sales,0.93
[Stock] experiences robust holiday sales,1.05
[Stock] to focus on e-commerce expansion,1.04
[Stock] to hire new employees,1.02
[Stock] suffers due to rising labor costs,0.93
[Stock] faces disruption from new technology,0.93
[Stock] sees surge in online sales,1.05
[Stock] to scale back operations,0.93
[Stock] faces criticism over labor practices,0.92
[Stock] to expand product portfolio,1.03
[Stock] to deploy new business model,1.02
[Stock] to expand operations in Asia,1.04
[Stock] faces stiff competition in market,0.94
[Stock] to venture into e-commerce,1.03
[Stock] to increase spending on marketing,1.03
[Stock] to streamline operations,1.02
[Stock] to launch new service line,1.03
[Stock] announces restructuring plans,1.02
[Stock] to reduce workforce,0.93
[Stock] to introduce new features in product,1.03
[Stock] to tap into new customer segments,1.03
[Stock] announces significant cost cuts,1.02
[Stock] faces challenges in international markets,0.94
[Stock] to launch new subscription service,1.04
[Stock] to leverage AI for better customer experience,1.03
[Stock] to focus on product innovation,1.03
[Stock] reports surge in online traffic,1.05
[Stock] to close unprofitable stores,0.93
[Stock] to consolidate operations,1.02
[Stock] faces controversy over advertising campaign,0.93
[Stock] anticipates revenue decline due to supply chain issues,0.93
[Stock] to introduce new pricing strategy,1.02
[Stock] experiences growth in customer base,1.05
[Stock] to undertake restructuring,1.02
[Stock] to increase focus on customer satisfaction,1.03
[Stock] faces backlash over customer service,0.92
[Stock] to invest in e-sports,1.03
[Stock] to reduce operational costs,1.02
[Stock] to embark on strategic rebranding,1.02
[Stock] to improve customer service,1.03
[Stock] to launch new promotional campaign,1.03
[Stock] to target new demographic,1.03
[Stock] to focus on digital marketing,1.03
[Stock] to focus on customer retention,1.03
