Headline,Multiplier
[Stock] announces new sustainable energy project,1.07
[Stock] announces significant investment in renewables,1.1
[Stock] announces new renewable energy project,1.03
[Stock] plans major capital expenditure,1.01
[Stock] introduces new environmentally friendly initiative,1.03
[Stock] announces new sustainability goals,1.03
[Stock] to introduce new sustainability initiative,1.03
[Stock] suffers significant damage from natural disaster,0.91
[Stock] breaks ground on new renewable energy project,1.05
[Stock] set to profit from new legislation,1.03
[Stock] receives funding for innovative project,1.03
[Stock] to invest in clean energy projects,1.05
[Stock] receives green light for new project,1.04
[Stock] plans major investments in infrastructure,1.03
[Stock] secures financing for major project,1.03
[Stock] to increase investment in green energy,1.05
[Stock] hit by natural disaster,0.91
[Stock] to explore green energy opportunities,1.03
