Headline,Multiplier
[Stock] unveils innovative tech product,1.11
[Stock] sees significant drop in active users,0.96
[Stock] announces partnership with major tech firm,1.06
[Stock] launches new innovative product,1.12
[Stock] announces groundbreaking technological breakthrough,1.1
[Stock] suffers significant data breach,0.88
[Stock] to split stock 2-for-1,1.02
[Stock] initiates strategic partnership with major tech company,1.04
[Stock] announces merger with industry competitor,1.08
[Stock] gets patent approval for innovative technology,1.06
[Stock] announces significant investment in R&D,1.03
[Stock] announces major investment in AI technology,1.07
[Stock] issues positive Q3 guidance,1.04
[Stock] announces stock split,1.03
[Stock] invests heavily in blockchain technology,1.05
[Stock] raises outlook for 2024,1.06
[Stock] reports better than expected earnings,1.05
[Stock] raises full-year guidance,1.04
[Stock] faces potential patent infringement lawsuit,0.91
[Stock] faces serious cyber security threats,0.89
[Stock] appoints new CFO,1.01
[Stock] to increase investment in cloud computing,1.06
[Stock] announces ambitious growth plan,1.05
[Stock] to lay off employees due to automation,0.93
[Stock] discloses data privacy violation,0.9
[Stock] reports a surge in online sales,1.04
[Stock] launches major R&D initiative,1.03
[Stock] invests heavily in robotics,1.04
[Stock] acquires rapidly growing tech startup,1.05
[Stock] announces breakthrough in AI technology,1.07
[Stock] forms partnership to enter new markets,1.04
[Stock] under scrutiny for potential monopoly practices,0.92
[Stock] to launch new online platform,1.05
[Stock] to venture into AI-based solutions,1.06
[Stock] receives major patent for new technology,1.07
[Stock] suffers major operational glitch,0.91
[Stock] to increase research in AI,1.04
[Stock] faces antitrust scrutiny,0.91
[Stock] to invest in blockchain technology,1.04
[Stock] to introduce new data security measures,1.03
[Stock] to release next generation product,1.04
[Stock] to undertake major IT system overhaul,1.03
[Stock] to implement AI in operations,1.04
[Stock] to pursue digital transformation,1.03
[Stock] to enter into strategic partnership with [Stock],1.03
[Stock] to build new data centers,1.04
[Stock] hit by data breach,0.9
[Stock] to invest heavily in cloud computing,1.04
[Stock] to roll out new digital platform,1.03
[Stock] enters new market segment,1.03
[Stock] suffers major data breach,0.9
[Stock] to expand digital services,1.04
[Stock] to launch innovative product,1.03
[Stock] to incorporate AI in product development,1.04
[Stock] to invest in cybersecurity,1.03
[Stock] to develop new technology,1.04
[Stock] to upgrade its IT infrastructure,1.03
[Stock] to enhance data protection measures,1.03
[Stock] to adopt new software platform,1.03
[Stock] to leverage big data for strategic decisions,1.03
[Stock] to enhance product features,1.03
[Stock] to invest in digital transformation,1.03
[Stock] to launch new software,1.03
[Stock] to undertake a large-scale digitalization process,1.04
[Stock] to increase focus on AI technology,1.04
[Stock] to roll out new e-commerce platform,1.03
[Stock] faces data privacy concerns,0.92
[Stock] to adopt new technology platform,1.03
[Stock] to adopt agile working methods,1.03
[Stock] to increase focus on cybersecurity,1.03
[Stock] to accelerate digitization efforts,1.04
[Stock] to increase investment in AI,1.03
[Stock] to prioritize digital innovation,1.03
[Stock] to invest in innovation,1.03
[Stock] to invest in cloud computing,1.03
[Stock] to adopt AI in operations,1.03
